wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
0001,25-40,female,right,TRUE,midwest,0,earlyafternoon,26,latemorning,47,earlyafternoon
0002,41-60,male,right,TRUE,midwest,0,latemorning,53,latemorning,98,earlyafternoon
0003,25-40,female,right,TRUE,midwest,0,earlyafternoon,21,earlyafternoon,47,earlyafternoon
0004,18-24,female,ambidextrous,TRUE,NA,0,latemorning,21,earlyafternoon,44,earlymorning
0005,18-24,male,right,TRUE,midwest,0,latemorning,21,earlyafternoon,42,latemorning
0006,18-24,male,right,TRUE,midwest,0,earlyevening,42,lateevening,82,earlyevening
0009,18-24,female,right,TRUE,midwest,0,earlyafternoon,40,earlyafternoon,87,lateevening
0010,18-24,female,right,TRUE,midwest,0,earlyafternoon,21,earlyafternoon,58,latemorning
0011,18-24,male,right,TRUE,midwest,0,earlyafternoon,21,earlyafternoon,58,latemorning
0012,18-24,male,right,TRUE,northeast,0,earlyafternoon,21,earlyafternoon,58,latemorning
0013,61+,female,right,FALSE,NA,0,lateevening,32,earlyevening,59,earlyafternoon
0015,41-60,female,right,TRUE,midwest,0,lateevening,39,earlymorning,78,lateafternoon
0016,18-24,female,right,TRUE,midwest,0,latemorning,21,earlymorning,42,earlymorning
0017,25-40,male,right,FALSE,NA,0,lateevening,30,lateevening,74,lateevening
0018,61+,female,right,TRUE,midwest,0,earlyevening,38,lateafternoon,61,latemorning
0020,61+,female,right,TRUE,midwest,0,lateafternoon,41,earlyevening,80,earlyevening
0022,25-40,female,right,FALSE,NA,0,earlymorning,34,lateevening,71,earlyafternoon
0023,25-40,female,left,TRUE,midwest,0,earlyafternoon,35,earlymorning,64,latemorning
0024,18-24,female,right,TRUE,midwest,0,lateafternoon,29,latemorning,59,latemorning
0025,41-60,male,left,TRUE,midwest,0,earlyevening,35,latemorning,82,lateevening
0026,18-24,male,right,TRUE,midwest,0,latemorning,21,latemorning,45,earlyafternoon
0027,41-60,female,right,TRUE,midwest,0,earlyafternoon,22,earlyafternoon,49,latemorning
0028,41-60,female,right,TRUE,midwest,0,earlyafternoon,34,earlymorning,67,earlymorning
0029,41-60,female,right,TRUE,midwest,0,earlymorning,47,lateevening,97,earlymorning
0030,18-24,male,right,TRUE,midwest,0,NA,23,latemorning,54,lateafternoon
0031,41-60,male,right,TRUE,midwest,0,lateevening,22,earlyevening,43,lateevening
0032,18-24,male,right,TRUE,midwest,0,earlyevening,23,lateafternoon,50,earlyafternoon
0033,41-60,female,right,TRUE,midwest,0,earlyafternoon,34,earlymorning,83,earlyevening
0034,25-40,female,right,TRUE,midwest,0,earlymorning,28,lateafternoon,50,lateafternoon
0035,41-60,female,right,FALSE,NA,0,lateevening,24,latemorning,64,earlyevening
0036,18-24,female,right,TRUE,midwest,0,lateevening,36,lateevening,95,lateafternoon
0038,41-60,female,left,TRUE,midwest,0,lateafternoon,23,lateevening,54,earlymorning
0043,41-60,male,right,TRUE,midwest,0,earlymorning,70,earlyafternoon,93,earlymorning
0061,25-40,female,right,TRUE,south,0,earlyafternoon,23,earlyafternoon,48,latemorning
0062,41-60,female,right,TRUE,midwest,0,lateevening,54,latemorning,98,earlyevening
0063,18-24,female,left,TRUE,midwest,0,earlyafternoon,21,earlyafternoon,47,earlyafternoon
0064,18-24,female,right,TRUE,south,0,latemorning,21,earlyafternoon,42,earlyafternoon
0066,18-24,male,right,TRUE,midwest,0,earlyevening,42,lateevening,82,earlyevening
0069,18-24,female,left,TRUE,midwest,0,earlyafternoon,38,lateevening,61,latemorning
0070,25-40,male,right,TRUE,midwest,0,earlyafternoon,21,earlyafternoon,58,latemorning
0071,25-40,male,right,TRUE,south,0,earlyafternoon,21,earlyafternoon,58,latemorning
0073,61+,male,right,FALSE,NA,0,lateevening,32,earlyevening,59,earlyafternoon
0074,25-40,male,left,TRUE,midwest,0,earlyafternoon,23,earlymorning,49,latemorning
0075,61+,female,right,TRUE,midwest,0,latemorning,29,earlymorning,82,earlyafternoon
0076,41-60,female,right,TRUE,south,0,lateevening,32,lateevening,67,lateevening
0077,25-40,male,right,FALSE,NA,0,lateevening,35,earlyafternoon,69,lateevening
0078,61+,male,right,TRUE,midwest,0,earlyafternoon,39,lateafternoon,62,latemorning
0080,61+,female,right,TRUE,midwest,0,lateafternoon,41,earlyevening,80,lateafternoon
0082,41-60,male,right,TRUE,midwest,0,lateafternoon,32,earlyafternoon,82,lateafternoon
0083,25-40,female,right,TRUE,midwest,0,lateafternoon,29,latemorning,61,lateafternoon
0085,25-40,male,right,TRUE,midwest,0,earlyevening,27,lateafternoon,59,lateevening
0086,41-60,female,right,TRUE,midwest,0,lateevening,37,lateevening,72,lateevening
0087,41-60,female,right,TRUE,midwest,0,earlyafternoon,27,latemorning,50,earlymorning
0088,18-24,male,right,FALSE,NA,0,earlyafternoon,28,earlyafternoon,53,earlyafternoon
0089,25-40,male,right,TRUE,midwest,0,lateevening,44,latemorning,73,earlyafternoon
